Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
150	394.803	787.080	-510.978	19.204	14	201.732	763.586	-628.772	18.510	118	272.357431079088	130.149441513127	67.546239654552
151	394.803	787.080	-510.978	19.204	14	201.732	763.586	-628.772	18.510	118	272.357431079088	127.103198921241	67.4969435454872
152	367.059	1021.872	-75.474	14.867	14	225.922	905.029	-64.392	20.488	118	200.160197644287	46.245216724496	73.7118644067797
153	367.059	1021.872	-75.474	14.867	14	225.922	905.029	-64.392	20.488	118	200.160197644287	45.2341257670964	73.7118644067797
154	790.539	1119.200	-602.339	14.995	15	950.020	1178.668	-610.712	18.187	118	179.508589805613	68.2245340638903	45.2027397260274
155	284.541	1254.565	-59.070	13.734	15	284.683	1367.502	45.300	15.430	57	154.302430509049	84.5653401180453	10.1190476190476
156	369.965	1114.362	-41.532	16.292	15	362.696	1077.894	76.914	16.037	67	124.145915361723	73.1426877181138	28.6346153846154
157	473.260	751.175	-534.684	13.013	16	393.162	773.089	-489.258	16.569	36	103.247967708813	55.1844985737408	41.4
158	645.067	1025.173	-644.737	19.485	17	576.268	1014.286	-823.467	19.696	118	196.200825869821	57.1639044212113	71.8434782608696
159	521.729	997.172	-612.184	14.593	17	564.442	1029.851	-653.365	18.633	37	67.7361954275556	46.7228479832511	50.65
160	532.043	1252.053	70.164	19.085	17	698.576	1080.819	113.862	20.699	118	242.824706422143	56.1184065384234	40.1683168316832
161	833.015	863.694	-85.128	14.555	17	893.329	793.410	3.276	17.085	118	162.642422919114	55.4408916530285	22.0032894736842
162	518.987	1384.322	-701.384	14.134	18	899.258	1372.285	-747.553	19.251	118	402.828310982483	124.325786862724	44.0519793459553
163	502.907	906.967	-99.888	21.213	18	469.340	872.839	150.258	17.109	118	264.995904768357	54.2294992555816	56
164	229.337	1103.292	-41.640	17.855	18	174.411	1309.974	-112.230	16.464	58	225.204934892644	96.7306708985965	12.2
165	450.165	792.376	-526.482	14.862	18	298.786	802.929	-486.654	16.140	42	156.886063861645	68.5232502605861	50.7083333333333
