Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
87	568.589	635.312	62.345	10.000	59	552.494	643.417	74.529	10.000	120	28.4272030632633	9.98390300184138	68.5081967213115	aFHF
88	569.543	638.027	59.574	10.000	59	546.214	648.756	68.099	10.000	120	30.1723128215257	10.6265464658007	66.7213114754098	aFHF
89	632.053	557.256	189.383	10.000	12	605.441	532.105	272.945	10.000	120	91.232555532551	10.8963912750756	104.194444444444	aFHF
90	193.383	337.823	366.321	10.000	0	241.122	343.864	325.118	10.000	120	63.3497672529269	8.56133126620202	58.5	aFHF
91	204.240	599.408	179.577	10.000	76	179.844	600.421	187.905	10.000	120	25.7981892581631	6.70387686155814	87.3181818181818	aFHF
92	567.679	606.231	88.104	10.000	48	567.951	628.236	104.069	10.000	120	27.18777729054	8.17082133262375	88.4444444444444	aFHF
93	579.373	616.010	84.139	10.000	48	565.752	637.471	102.672	10.000	120	31.4575626996117	9.08349739954823	87.6111111111111	aFHF
94	565.872	603.663	85.169	10.000	48	563.991	601.089	110.408	10.000	120	25.4395510573595	7.92723781610051	93.9305555555556	aFHF
95	576.101	616.266	81.773	10.000	48	582.632	604.172	109.873	10.000	120	31.2814449314605	8.68425156460605	93.5416666666667	aFHF
96	577.666	617.300	83.500	10.000	48	579.961	621.727	120.872	10.000	120	37.7032059379571	9.27968514347761	96.25	aFHF
97	572.146	612.638	81.620	10.000	48	574.870	618.896	118.184	10.000	120	37.1955486046381	10.5224316338885	92.2361111111111	aFHF
98	576.443	605.664	94.406	10.000	48	600.235	590.790	145.041	10.000	120	57.8966876427314	8.73995987109322	114.444444444444	aFHF
99	136.988	561.314	182.371	10.000	36	145.417	548.804	271.189	10.000	120	90.0898732655341	11.5910906304414	118.130952380952	aFHF
100	177.578	351.863	368.108	10.000	0	233.398	362.100	304.361	10.000	120	85.3483952866133	9.49408066306241	60.9	aFHF
