Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
84	596.952	566.751	125.933	10.000	34	623.824	589.661	116.203	10.000	119	36.6284777734483	6.98914587824015	141.188235294118	aFHF
85	618.403	585.260	173.914	10.000	9	632.198	574.016	163.455	10.000	119	21.1554990723452	5.32621114708341	123.190909090909	aFHF
86	564.215	632.566	60.579	10.000	59	580.539	635.802	54.308	10.000	119	17.7839847334617	5.65379862938979	88.85	aFHF
87	568.611	635.963	61.606	10.000	59	575.900	641.137	56.032	10.000	119	11.0658517069406	4.43911211609791	89.8666666666667	aFHF
88	569.565	638.678	58.835	10.000	59	569.687	646.481	49.643	10.000	119	12.0579665366927	5.34718339448107	87.0666666666667	aFHF
89	632.564	556.823	188.900	10.000	12	627.409	562.380	191.245	10.000	119	18.3474629308796	5.75954929344838	100.065420560748	aFHF
90	193.383	337.823	366.321	10.000	0	164.488	295.748	363.474	10.000	119	51.1207595698655	6.57834637532412	44.781512605042	aFHF
91	204.568	600.008	179.469	10.000	76	189.388	602.847	179.182	10.000	119	15.4458632002229	5.83134761017238	91.7209302325581	aFHF
92	568.010	606.451	87.181	10.000	48	592.759	633.408	75.986	10.000	119	38.3426519818335	7.95517920451315	104.225352112676	aFHF
93	579.704	616.230	83.216	10.000	48	590.136	642.577	74.934	10.000	119	29.7791022195096	5.41853001671995	102.295774647887	aFHF
94	566.203	603.883	84.246	10.000	48	578.515	610.080	74.448	10.000	119	22.6665847670089	7.73960974548679	107.380281690141	aFHF
95	576.432	616.486	80.850	10.000	48	608.990	610.454	80.480	10.000	119	33.1141252036046	8.00442336095294	111.352112676056	aFHF
96	577.997	617.520	82.577	10.000	48	589.223	643.131	81.332	10.000	119	30.4853012778289	7.40359019543363	105.619718309859	aFHF
97	572.477	612.858	80.697	10.000	48	595.518	624.488	90.094	10.000	119	27.4672202816376	6.03305004243094	108.591549295775	aFHF
98	576.774	605.884	93.483	10.000	48	605.632	618.636	96.037	10.000	119	34.7649750323511	6.15900734343901	122.394366197183	aFHF
99	137.215	560.756	181.491	10.000	36	119.549	571.221	205.432	10.000	119	31.5905934892019	7.2199924093817	107.301204819277	aFHF
100	177.578	351.863	368.108	10.000	0	151.164	311.710	340.413	10.000	119	55.4704951302943	5.91466912966675	46.6890756302521	aFHF
101	161.204	370.744	346.152	10.000	0	123.182	320.766	325.429	10.000	119	66.1280250498985	8.50644257199731	48.2689075630252	aFHF
102	162.012	606.259	161.758	10.000	38	139.276	593.199	122.816	10.000	119	46.9464445938135	8.50418216992863	90.962962962963	aFHF
103	146.535	574.162	178.219	10.000	32	163.927	569.381	182.231	10.000	119	23.0643271308746	6.30502591531812	100.459770114943	aFHF
104	153.655	579.355	156.449	10.000	43	123.609	572.689	170.672	10.000	119	33.9041502031831	7.34462121419147	103.315789473684	aFHF
105	149.761	590.120	144.376	10.000	43	117.633	583.701	135.457	10.000	119	33.955272138506	7.5548881636535	99.3815789473684	aFHF
106	146.385	557.330	144.893	10.000	43	128.119	586.900	127.314	10.000	119	38.9493632425486	8.19516785505602	97.0526315789474	aFHF
107	148.064	561.479	151.761	10.000	43	128.904	580.201	133.486	10.000	119	32.4282979664367	8.7884692543029	100.394736842105	aFHF
108	145.703	555.358	151.410	10.000	43	137.406	565.346	146.376	10.000	119	23.6113516131543	8.25275609681177	102.131578947368	aFHF
109	144.652	567.131	150.100	10.000	43	117.068	561.901	156.322	10.000	119	28.756620802869	9.20323677361523	102.907894736842	aFHF
110	109.600	488.080	142.946	10.000	31	137.931	536.144	170.505	10.000	119	65.8231750145798	10.6314399220548	105.886363636364	aFHF
111	162.679	635.936	168.743	10.000	43	153.899	628.482	155.439	10.000	119	17.5967875477316	5.34250607047376	83.3552631578947	aFHF
112	631.948	391.713	311.392	10.000	0	662.060	371.412	270.799	10.000	119	56.0010380171654	7.74438013972904	54.6218487394958	aFHF
113	141.569	474.872	173.940	10.000	18	139.082	461.783	174.527	10.000	119	31.7108139914446	9.96602111868465	91.3465346534653	aFHF
114	591.465	596.336	65.029	10.000	61	593.628	607.990	74.530	10.000	119	15.1908948386854	7.5069508269138	115.741379310345	aFHF
115	174.997	628.191	177.243	10.000	27	167.044	627.720	186.487	10.000	119	12.2034251749253	5.61822176364378	74.7934782608696	aFHF
116	593.276	607.223	67.478	10.000	61	601.192	606.444	68.949	10.000	119	11.0602615249369	5.92370358619939	113.206896551724	aFHF
117	204.799	611.338	174.447	10.000	52	168.114	600.708	171.899	10.000	119	38.2789554324566	8.07696699538504	90.1791044776119	aFHF
118	99.596	478.945	263.206	10.000	9	109.642	466.977	251.804	10.000	119	24.4408107066848	7.36345465083812	77.8272727272727	aFHF
119	100.781	490.976	208.496	10.000	26	121.570	465.102	198.025	10.000	119	34.8035664551781	7.97764729239119	90.1720430107527	aFHF
120	658.335	428.159	246.905	10.000	0	637.100	411.908	223.839	10.000	119	38.7800473439629	5.45011386240629	62.2605042016807	aFHF
121	190.300	608.125	155.688	10.000	42	156.484	597.216	155.760	10.000	119	41.3648897859042	8.38480956238303	88.1168831168831	aFHF
122	191.423	367.430	339.201	10.000	0	142.097	305.464	347.447	10.000	119	79.6293661157741	8.46984698298911	45.8403361344538	aFHF
123	159.283	330.383	352.297	10.000	0	105.598	297.841	368.458	10.000	119	64.8246782483338	7.43598472274965	39.6554621848739	aFHF
124	161.099	335.359	353.953	10.000	0	110.950	310.667	355.766	10.000	119	55.9276678755694	6.83696225997072	42.6974789915966	aFHF
125	579.879	658.058	117.167	10.000	36	571.472	654.291	111.467	10.000	119	10.8331868810614	3.94053175008725	96.9638554216867	aFHF
126	631.078	392.087	310.752	10.000	0	664.011	364.700	281.520	10.000	119	53.9023955868383	7.12654723530862	54.8655462184874	aFHF
127	635.174	387.911	318.097	10.000	0	661.046	355.321	297.674	10.000	119	46.3526419203911	6.81172926077444	54.6890756302521	aFHF
128	619.093	384.881	320.383	10.000	0	649.717	354.047	267.289	10.000	119	68.6114988030432	8.7887155753561	54.1848739495798	aFHF
129	633.070	381.096	321.890	10.000	0	671.180	351.915	295.213	10.000	119	54.9141620167329	8.46930279840315	54.6218487394958	aFHF
130	175.254	307.049	369.695	10.000	0	154.431	290.013	394.418	10.000	119	36.5383271921417	5.33301262205828	39.6050420168067	aFHF
