Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C2-Image498454 & C3-Image498454,EHF,mes1,0.135,0.016,16,169,19,-0.0079,-0.004,1,1,0.4594,0.1481,13631,0.27%,41.29%,13.18%,9.38%,7.64%,41.34%,13.97%
C2-Image498454 & C4-Image498454,EHF,mes1,0.04,24.387,-2884,36,-2006,0.0391,0,1,1,1,0.9998,234242,4.62%,99.99%,99.96%,99.99%,99.97%,100.00%,99.97%
C3-Image498454 & C4-Image498454,EHF,mes1,0.253,53.416,-821.5,8,-394,0.2499,0.016,1,1,1,0.9989,233280,4.60%,99.70%,99.55%,99.81%,99.67%,99.87%,99.67%
C1-Image498454 & C4-Image498454,EHF,mes2,0.234,0.211,75.4,244,127,-0.0574,-0.007,1,1,0.3744,0.2908,18897,0.37%,45.23%,35.28%,18.27%,18.31%,46.20%,37.06%
C2-Image498454 & C3-Image498454,EHF,mes2,0.151,0.017,14.9,169,18,0.015,0,1,1,0.4768,0.1507,10451,0.21%,45.66%,14.14%,10.60%,8.47%,45.92%,15.05%
C2-Image498454 & C4-Image498454,EHF,mes2,0.043,7.267,-769.5,45,-443,0.0397,-0.002,1,1,1,0.9975,161170,3.18%,99.94%,99.63%,99.88%,99.70%,99.98%,99.70%
C3-Image498454 & C4-Image498454,EHF,mes2,0.198,52.489,-775.3,8,-355,0.1949,0,1,1,1,0.9985,160845,3.18%,99.62%,99.43%,99.75%,99.54%,99.83%,99.54%
C1-Image498454 & C4-Image498454,EHF,mes3,0.356,0.569,47.7,153,135,0.0177,0.008,1,1,0.6518,0.7648,76349,1.51%,68.87%,83.11%,59.21%,61.92%,70.08%,85.34%
C2-Image498454 & C3-Image498454,EHF,mes3,0.161,0.021,16.2,171,20,-0.0366,0.001,1,1,0.4827,0.1791,12843,0.25%,47.34%,17.20%,12.17%,10.34%,47.44%,18.21%
C3-Image498454 & C4-Image498454,ROI1,mes3,0.061,213.559,-3899.6,11,-1550,0.0484,-0.007,1,1,1,0.9883,157135,3.10%,98.65%,97.29%,98.60%,97.67%,99.26%,97.67%
