Stage,Label,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,IntDen,Median,RawIntDen,Ch
EHF,Image850925:mes3_3:3,1478.12,81.996,29.166,14,344,99.177,54.656,99.694,54.811,121200.259,78,16292408,3
EHF,Image850925:mes3_4:4,1478.12,398.494,159.153,43,1796,99.177,54.656,99.387,55.622,589022.11,378,79179604,4
EHF,Image360242:ect1_1:1,5555.842,13.564,3.47,3,62,80.014,99.589,79.531,99.9,75361.464,13,10130504,1
EHF,Image360242:ect1_2:2,5555.842,484.751,250.698,22,4829,80.014,99.589,80.082,98.682,2693197.675,431,362034498,2
EHF,Image360242:ect1_3:3,5555.842,124.651,54.035,7,719,80.014,99.589,77.78,100.287,692542.993,114,93095452,3
EHF,Image360242:ect1_4:4,5555.842,160.038,57.346,17,1800,80.014,99.589,78.426,100.098,889144.509,151,119523713,4
EHF,Image360242:ect2_1:1,2964.415,13.766,3.503,3,53,59.089,131.963,59.21,132.02,40809.491,14,5485837,1
EHF,Image360242:ect2_2:2,2964.415,468.822,268.049,28,3313,59.089,131.963,57.676,132.692,1389784.053,407,186822444,2
EHF,Image360242:ect2_3:3,2964.415,126.348,57.289,8,703,59.089,131.963,57.728,132.357,374547.14,116,50348694,3
EHF,Image360242:ect2_4:4,2964.415,163.528,57.787,16,699,59.089,131.963,58.547,132.109,484765.4,157,65164841,4
EHF,Image360242:ect3_1:1,3338.585,13.172,3.483,3,62,107.477,70.73,107.142,70.37,43976.932,13,5911622,1
EHF,Image360242:ect3_2:2,3338.585,517.617,266.185,22,4829,107.477,70.73,109.238,70.816,1728108.918,463,232301940,2
EHF,Image360242:ect3_3:3,3338.585,116.124,50.503,3,719,107.477,70.73,105.861,69.796,387689.19,109,52115321,3
EHF,Image360242:ect3_4:4,3338.585,152.565,58.18,14,1800,107.477,70.73,106.715,70.326,509349.638,144,68469590,4
EHF,Image360242:end1_1:1,2213.397,12.814,3.431,3,82,120.793,133.539,119.955,133.666,28361.408,12,3812497,1
EHF,Image360242:end1_2:2,2213.397,622.601,407.181,32,3418,120.793,133.539,120.839,134.341,1378064.039,527,185246975,2
EHF,Image360242:end1_3:3,2213.397,111.373,61.533,3,949,120.793,133.539,119.76,134.734,246511.749,97,33137470,3
EHF,Image360242:end1_4:4,2213.397,176.52,75.742,15,3006,120.793,133.539,120.471,134.6,390709.019,169,52521263,4
EHF,Image360242:end2_1:1,713.689,13.738,3.449,4,45,182.883,92.476,182.821,91.647,9804.842,13,1318021,1
EHF,Image360242:end2_2:2,713.689,788.767,402.182,61,3255,182.883,92.476,182.494,92.1,562934.382,708,75672747,2
EHF,Image360242:end2_3:3,713.689,118.533,52.783,10,539,182.883,92.476,181.964,96.657,84595.328,109,11371771,3
EHF,Image360242:end2_4:4,713.689,154.619,41.723,21,785,182.883,92.476,182.775,92.931,110349.56,149,14833797,4
EHF,Image360242:end3_1:1,2120.736,12.625,3.351,3,82,118.362,126.555,118.143,127.009,26773.8,12,3599082,1
EHF,Image360242:end3_2:2,2120.736,619.97,401.339,38,3418,118.362,126.555,117.758,127.763,1314792.124,531,176741615,2
EHF,Image360242:end3_3:3,2120.736,107.325,57.367,8,772,118.362,126.555,117.647,128.291,227607.645,96,30596276,3
