Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
65	280.249	248.655	298.817	10.000	0	315.526	241.558	263.666	10.000	148	50.3033491827333	5.4960762634572	121.439189189189	EM
66	251.569	214.024	301.315	10.000	0	289.149	213.631	288.358	10.000	148	41.2530686010144	4.48925555236604	150.081081081081	EM
67	272.642	248.023	293.262	10.000	0	311.374	245.753	279.912	10.000	148	41.0310032048938	5.09952099201488	133.364864864865	EM
68	279.371	253.943	301.610	10.000	0	316.719	264.521	273.319	10.000	148	49.2987189387311	5.94520046027156	125.22972972973	EM
69	261.232	224.431	310.229	10.000	0	288.396	217.541	301.116	10.000	148	29.4686573328341	4.73563312333551	153.033783783784	EM
70	246.890	222.282	298.547	10.000	0	293.019	222.425	292.217	10.000	148	46.5615076001626	4.75541517243014	157	EM
71	247.837	231.049	292.089	10.000	0	275.643	226.020	303.457	10.000	148	31.0998767521674	4.94945087321064	170.97972972973	EM
72	221.001	261.769	317.459	10.000	0	280.839	257.584	301.740	10.000	148	62.0095753089795	7.00679010291869	196.317567567568	EM
73	216.359	263.005	313.283	10.000	0	264.131	233.146	310.528	10.000	148	56.445581633995	6.25020985320475	202.993243243243	EM
74	217.377	262.594	311.721	10.000	0	274.478	235.725	309.534	10.000	148	64.7037045152749	6.26115290965845	192.128378378378	EM
75	220.482	254.131	319.005	10.000	0	287.600	251.963	306.752	10.000	148	68.2617180929399	6.94002300073267	191.398648648649	EM
76	222.987	256.487	313.438	10.000	0	252.104	252.225	320.771	10.000	148	43.0897821066665	6.43432666630058	206.331081081081	EM
77	218.736	249.822	323.912	10.000	0	253.383	238.406	323.701	10.000	148	40.1427030853678	6.15961856016464	199.763513513514	EM
78	228.494	254.086	319.500	10.000	0	292.171	253.893	295.475	10.000	148	68.0587849068729	7.36485769196518	181.554054054054	EM
79	217.382	248.038	295.964	10.000	0	278.172	225.742	293.303	10.000	148	64.8044492068253	5.70335860417235	186.344594594595	EM
80	214.323	243.178	297.520	10.000	0	253.856	225.941	314.178	10.000	148	46.2326856455473	5.34495770572761	209.189189189189	EM
81	239.134	185.083	276.115	10.000	0	267.343	165.142	292.284	10.000	148	38.5303953262875	4.03034306946803	120.790540540541	EM
82	241.072	199.217	281.974	10.000	0	276.875	187.472	291.680	10.000	148	39.3682268333233	4.11874271567941	132.101351351351	EM
83	246.680	180.712	282.325	10.000	0	278.753	160.796	286.517	10.000	148	38.0754474694651	4.31983971287581	96.3783783783784	EM
84	239.402	253.817	317.982	10.000	0	288.962	240.106	301.128	10.000	148	54.113237169846	5.99447627366733	169.459459459459	EM
85	239.866	243.279	310.361	10.000	0	248.255	229.005	317.862	10.000	148	18.1765617760896	4.73785610886003	197.756756756757	EM
86	229.523	250.505	318.723	10.000	0	263.307	240.628	323.048	10.000	148	36.9275850009177	5.38969642362347	196.331081081081	EM
87	233.005	250.417	314.426	10.000	0	289.033	239.997	296.957	10.000	148	59.6060327903141	6.60761276847859	173.047297297297	EM
88	222.591	222.205	302.752	10.000	0	260.261	211.626	310.292	10.000	148	40.895990732589	4.84065489728091	171.918918918919	EM
89	217.359	226.827	310.173	10.000	0	265.403	222.725	312.041	10.000	148	48.5000904019776	5.07981371353215	183.871621621622	EM
90	186.543	232.489	302.349	10.000	0	229.353	199.668	323.750	10.000	148	58.0337569178491	5.86496046659064	208.614864864865	EM
91	201.870	230.420	295.832	10.000	0	234.915	218.842	322.843	10.000	148	44.2223498923339	4.61051082531148	211.628378378378	EM
92	201.614	221.445	295.760	10.000	0	241.061	209.583	323.713	10.000	148	50.0249348225462	4.53411688286706	200.405405405405	EM
93	171.868	184.176	139.291	10.000	0	168.600	200.434	83.200	10.000	148	58.4910477680132	5.69659390527196	210.560810810811	EM
